Gene	Mutations	MutationFreq%	Lenght	Corrected
IGDCC3	3	0.872093023255814	50875	1.7141877606993886e-05
MKI67	3	0.872093023255814	29764	2.930026284289121e-05
KCNK5	3	0.872093023255814	40504	2.153103454611431e-05
PDE1C	3	0.872093023255814	676952	1.2882641948850346e-06
LRIF1	3	0.872093023255814	16775	5.198766159498146e-05
SLC5A10	3	0.872093023255814	72250	1.2070491671360748e-05
MYH13	3	0.872093023255814	72265	1.2067986207096297e-05
TLN2	3	0.872093023255814	454105	1.920465582312051e-06
UBTF	3	0.872093023255814	16593	5.255788725702489e-05
CROCC	3	0.872093023255814	232691	3.747858848240001e-06
THSD4	3	0.872093023255814	686431	1.270474415135409e-06
MROH2B	3	0.872093023255814	73325	1.1893529127252833e-05
HHAT	3	0.872093023255814	348044	2.505697622300094e-06
DDX3Y	3	0.872093023255814	16370	5.327385603273146e-05
FRY	3	0.872093023255814	452412	1.927652279903747e-06
F5	3	0.872093023255814	74637	1.168445976199223e-05
FAM135B	3	0.872093023255814	367238	2.3747352486829087e-06
ASH1L	3	0.872093023255814	227894	3.826748502618822e-06
NHS	3	0.872093023255814	360794	2.417149462728909e-06
RYBP	3	0.872093023255814	74796	1.1659621146262016e-05
NRAP	3	0.872093023255814	75356	1.1572973927169888e-05
DEGS2	3	0.872093023255814	15688	5.558981535286933e-05
NALCN	3	0.872093023255814	362732	2.404235146763489e-06
ZNF518A	3	0.872093023255814	75573	1.1539743337644582e-05
FN1	3	0.872093023255814	75633	1.1530588807211324e-05
CCDC108	3	0.872093023255814	38681	2.2545772427181663e-05
MYLK2	3	0.872093023255814	15381	5.66993708637809e-05
SARDH	3	0.872093023255814	76395	1.1415577240078722e-05
NR3C2	3	0.872093023255814	365936	2.3831845548287514e-06
ATXN2L	3	0.872093023255814	14238	6.12510902694068e-05
SPTBN1	3	0.872093023255814	215129	4.053814331195766e-06
PGLYRP2	3	0.872093023255814	30311	2.8771502862189104e-05
PTPRU	3	0.872093023255814	90297	9.658050912608549e-06
ABCA12	3	0.872093023255814	207084	4.211300840508268e-06
HRNR	3	0.872093023255814	12117	7.197268492661665e-05
SCN11A	3	0.872093023255814	206393	4.2254001989205735e-06
USP31	3	0.872093023255814	88046	9.904970393383162e-06
BRAF	3	0.872093023255814	205602	4.241656322680781e-06
ARID1A	3	0.872093023255814	88868	9.81335264950054e-06
RPTOR	3	0.872093023255814	421552	2.068767372129213e-06
CLK1	3	0.872093023255814	11682	7.465271556718147e-05
UFL1	3	0.872093023255814	33681	2.589272952869018e-05
MYBPC2	3	0.872093023255814	33429	2.6087918371946933e-05
COL5A1	3	0.872093023255814	203040	4.29517840453021e-06
THSD7B	3	0.872093023255814	912173	9.56060992000217e-07
SCN7A	3	0.872093023255814	207909	4.194590052647139e-06
FGF9	3	0.872093023255814	33425	2.609104033674836e-05
TIMELESS	3	0.872093023255814	33063	2.637670578156289e-05
ANAPC5	3	0.872093023255814	91651	9.515368334833375e-06
PARP4	3	0.872093023255814	91847	9.495062693999956e-06
GRM1	3	0.872093023255814	409955	2.127289637291444e-06
FLG2	3	0.872093023255814	11271	7.737494661128684e-05
MUT	3	0.872093023255814	32831	2.656309656287697e-05
TBC1D4	3	0.872093023255814	198666	4.389744713518236e-06
ADAMTS20	3	0.872093023255814	198337	4.397026390717889e-06
ARNTL2	3	0.872093023255814	92435	9.434662446646984e-06
TRPM2	3	0.872093023255814	92918	9.385619828836327e-06
GLI1	3	0.872093023255814	12483	6.986245479899174e-05
SLC6A6	3	0.872093023255814	86773	1.005028088525018e-05
PLCB4	3	0.872093023255814	436768	1.996696239779045e-06
RAPGEF6	3	0.872093023255814	211310	4.127078809596394e-06
POSTN	3	0.872093023255814	36261	2.405044050786834e-05
C1S	3	0.872093023255814	82773	1.0535960074611456e-05
AKAP1	3	0.872093023255814	36254	2.4055084218453523e-05
CEP76	3	0.872093023255814	40944	2.1299653752828596e-05
TCN1	3	0.872093023255814	13689	6.370757712439286e-05
CWF19L1	3	0.872093023255814	35382	2.464792898241518e-05
PCDH18	3	0.872093023255814	13576	6.423784791218429e-05
THBS3	3	0.872093023255814	13463	6.477702022252203e-05
RPS6KA5	3	0.872093023255814	212780	4.098566703899868e-06
LRP1	3	0.872093023255814	84878	1.0274665087016824e-05
MYH8	3	0.872093023255814	31628	2.7573448313387317e-05
DTNA	3	0.872093023255814	398553	2.1881481841958634e-06
GOLGB1	3	0.872093023255814	86767	1.0050975869349108e-05
CSTF3	3	0.872093023255814	85183	1.0237876375049176e-05
PTK7	3	0.872093023255814	85412	1.0210427378539478e-05
ALCAM	3	0.872093023255814	209991	4.153001906061755e-06
SLC9A5	3	0.872093023255814	34508	2.5272198425171382e-05
A1CF	3	0.872093023255814	86266	1.0109348100709596e-05
TMEM132D	3	0.872093023255814	832300	1.047810913439642e-06
DSCAM	3	0.872093023255814	836159	1.0429751079110718e-06
PKD1L1	3	0.872093023255814	208264	4.187440091690421e-06
SCN4A	3	0.872093023255814	34364	2.5378099850303047e-05
PRPF8	3	0.872093023255814	34238	2.547149434125282e-05
VPS13C	3	0.872093023255814	208084	4.1910623750784005e-06
ACAN	3	0.872093023255814	71917	1.2126382124613289e-05
PLCE1	3	0.872093023255814	338892	2.573365624611422e-06
CCDC180	3	0.872093023255814	71447	1.2206153138071774e-05
HKDC1	3	0.872093023255814	47220	1.846872137348187e-05
ALS2CL	3	0.872093023255814	24709	3.529454948625254e-05
LRIG3	3	0.872093023255814	48355	1.8035219176006906e-05
PTPRO	3	0.872093023255814	279918	3.1155303455148075e-06
CNTN6	3	0.872093023255814	311559	2.799126403845865e-06
ARHGAP32	3	0.872093023255814	314264	2.775033167196414e-06
IGF1R	3	0.872093023255814	315991	2.759866652074945e-06
ADAMTS19	3	0.872093023255814	278402	3.1324955397440173e-06
MYO3A	3	0.872093023255814	278303	3.1336098542085928e-06
ZNF398	3	0.872093023255814	56626	1.5400929312609296e-05
SMAD4	3	0.872093023255814	56651	1.5394132905964837e-05
TMC1	3	0.872093023255814	316689	2.7537837539536075e-06
ITPR2	3	0.872093023255814	497842	1.7517465847715016e-06
DOCK10	3	0.872093023255814	277378	3.144059814606112e-06
LIG1	3	0.872093023255814	55158	1.581081662235422e-05
VRTN	3	0.872093023255814	56939	1.531626869554811e-05
MYBPC3	3	0.872093023255814	21296	4.095102475844356e-05
PKD1	3	0.872093023255814	47190	1.848046245509248e-05
ANAPC1	3	0.872093023255814	273051	3.193883279152297e-06
SLCO1C1	3	0.872093023255814	58054	1.5022100514276604e-05
PCDH10	3	0.872093023255814	59312	1.470348366697825e-05
SMC2	3	0.872093023255814	47159	1.8492610599372637e-05
MAP1A	3	0.872093023255814	20662	4.220758025630694e-05
DIDO1	3	0.872093023255814	60214	1.4483226878397285e-05
ANKRD52	3	0.872093023255814	20577	4.238193241268475e-05
ARHGEF2	3	0.872093023255814	60219	1.4482024332118e-05
SEC16B	3	0.872093023255814	60347	1.445130699547308e-05
KIF26B	3	0.872093023255814	554447	1.5729060185298397e-06
CDCA2	3	0.872093023255814	48712	1.7903042848904046e-05
GJA5	3	0.872093023255814	17163	5.081238846680732e-05
ZNF521	3	0.872093023255814	290266	3.004461505156697e-06
HDAC6	3	0.872093023255814	23605	3.694526681871696e-05
CNNM4	3	0.872093023255814	50972	1.710925651839861e-05
TRAF3IP2	3	0.872093023255814	51525	1.692562878710944e-05
MMP16	3	0.872093023255814	296014	2.946120870147405e-06
SIPA1L3	3	0.872093023255814	301161	2.8957701138454644e-06
PCDHGC5	3	0.872093023255814	23894	3.649841061587904e-05
FRMD3	3	0.872093023255814	295556	2.9506862430666743e-06
OCRL	3	0.872093023255814	52712	1.6544487465013924e-05
CTC1	3	0.872093023255814	23243	3.752067389131412e-05
KSR2	3	0.872093023255814	515978	1.6901748199648317e-06
SLC5A5	3	0.872093023255814	23229	3.754328741038418e-05
MAP3K10	3	0.872093023255814	24149	3.611300771277543e-05
MYH7	3	0.872093023255814	22920	3.8049433824424695e-05
NRCAM	3	0.872093023255814	309094	2.8214492136884378e-06
MTF1	3	0.872093023255814	50018	1.7435583655000478e-05
MYCBP2	3	0.872093023255814	284620	3.064060934775539e-06
FCRL4	3	0.872093023255814	24338	3.583256731267211e-05
CDKL2	3	0.872093023255814	54220	1.6084342000291663e-05
CNTNAP4	3	0.872093023255814	283479	3.0763937478819025e-06
DOCK1	3	0.872093023255814	547108	1.5940052480603715e-06
TAF1D	3	0.872093023255814	54443	1.6018460100578843e-05
COL17A1	3	0.872093023255814	54594	1.5974155094988715e-05
CHST11	3	0.872093023255814	306719	2.8432963828644917e-06
EFCAB7	3	0.872093023255814	49321	1.768198177765686e-05
SLC10A2	3	0.872093023255814	22419	3.88997289466887e-05
HCN4	3	0.872093023255814	49099	1.7761930451858774e-05
SIRPA	3	0.872093023255814	46425	1.8784987038358942e-05
ZNF276	3	0.872093023255814	20525	4.248930685777413e-05
SHANK1	3	0.872093023255814	60547	1.4403571163820071e-05
DGKI	3	0.872093023255814	466055	1.8712234033661563e-06
NOS2	3	0.872093023255814	43763	1.992763346333236e-05
CADPS	3	0.872093023255814	477070	1.828018997748368e-06
KNDC1	3	0.872093023255814	66193	1.3175003750484402e-05
GALNS	3	0.872093023255814	43236	2.017052972651989e-05
PKHD1	3	0.872093023255814	472314	1.8464263673230396e-06
NEB	3	0.872093023255814	249151	3.500258972493845e-06
