Gene,Number of connections,Connected genes
STX16,179,MGAT4C GPM6A ANK2 ZNF516 ASXL3 TWIST2 TACR2 TPRN SYTL4 KLHL14 DOCK3 FAM196A NRP2 SRCIN1 TP53AIP1 BMP4 P4HB CD248 LRRC49 RP11-497E19.1 XXbac-B135H6.15 AKR1A1 WDFY2 CTB-89H12.4 SGSM3 COL4A5 OSR1 RP11-91I8.3 DAPK1 AC083843.4 RP11-313J2.1 EIF3I GSTM1 MIR7111 LRRC43 CARD6 DEK C14orf28 AC009506.1 HPR TXNIP RP1-317E23.3 HIST1H3B RPL13A XPO5 RP11-2B6.3 C5orf17 DNM1L HNRNPCP2 RPL18AP7 KDR RP11-495P10.1 GRPEL1 RP11-31H5.3 ANKRD34B GSTZ1 CTD-2639E6.9 RP11-775C24.3 MARS2 FN3KRP AC005154.7 MFSD9 SLMO2 KDELR1 HDAC9 TRABD2B RP4-635E18.8 RP11-227G15.11 SLC16A6 RORC CTD-2536I1.2 APOC2 NOVA1 RP11-624L12.1 NGLY1 LINC01354 CTD-2035E11.5 RP11-687F6.5 USP34 RP11-111M22.3 SPARC RP11-712B9.2 ADPRH CTD-2192J16.21 FUT1 ZNF404 AKAP14 DCAF4 ZBED2 NME7 CH17-13I23.3 NR4A1 C3orf67 TASP1 RP11-439M11.1 GRPR MT-TY RP11-12J10.4 CCDC17 FLI1 HCN3 SLC10A6 OXCT2 GTF2IRD2P1 PRPF31 SLC25A26 BNIP3 AC068282.3 RP11-177H2.1 RP11-133L19.3 IFITM3 AP000640.10 GPR174 RP11-687E1.2 ZNF20 CACUL1 ZNF354C TP53TG1 ASF1A DGCR6 FLOT2 SEMA4A MIR27B RPL13AP3 AVPR2 HERC2P10 ZFP2 DHFRP1 TOMM22 LINC00571 ZNF141 RP11-321A17.6 AGT SLC22A18 TNNT1 RP11-350D17.3 CTB-12A17.2 BLMH SNRK-AS1 USP19 TRIM8 KRTAP5-10 PGK1P2 FAM173B CAMTA2 GTF2F1 RP11-83N9.6 UXT-AS1 RP11-220C2.1 RP11-473M20.9 RP11-274B21.13 TMEM251 RP11-552F3.12 RP11-127L20.3 CRYM-AS1 BRD3 RP11-452L6.7 AC092670.1 RP11-46J23.1 RP11-730G20.1 TATDN2P2 SLC41A3 CDHR3 ZNF568 MVD DHX57 OSGIN2 TESC SLC25A32 CDC25B PSMD14 CCM2 TMEM68 UNC119 CUX2 TRIO C11orf68 VMA21 TNFAIP1 
PEX12,178,AF131217.1 SOX15 FOXQ1 CTC-296K1.4 PHF19 PROSER2-AS1 BNIPL CDKL1 GPLD1 SDHD ANKRD53 KCNMA1 NFE2L2 SLC2A4 AAAS ANXA4 SYDE1 SHMT2 FBRSL1 ANKRD7 SNORD104 LINC01558 RP4-616B8.4 PDDC1 MAPK14 PPAN CCDC57 FYCO1 MANF SLC6A16 FN3K STK35 UTP3 ZNF652 RP11-867G23.3 DLG3-AS1 LUZP1 MYOZ1 TSTA3 SOCS6 AC092066.1 TUFM SLC35F1 WDR62 LYPD5 CCT8 DMBX1 PAGR1 APTX ZNF213-AS1 NMI AAMP NFASC PIANP STAG3L5P-PVRIG2P-PILRB CTD-2350C19.2 MTFR2 EPHA4 PWRN1 SC22CB-109E1.1 KLHL3 ZNF841 CLASP1 LIPC GNPNAT1 RP5-907C10.3 GS1-124K5.4 C8orf44 FAM214B SCUBE2 GMPPB RP11-837J7.4 BZW2 PPP4R1-AS1 RP11-181C3.1 RELL1 SEC22C RP11-253A20.1 MDM4 PLAT PABPC3 EIF3D CLIC5 RP11-286N22.8 HMGA1P4 FOXP1-IT1 RP11-312J18.5 IGHV7-81 PTK6 PLCB3 ATP1A1-AS1 ERN1 RP5-882O7.1 ANKRD54 RPS7P1 RP11-1260E13.4 TCEANC LYRM4 RP3-406P24.4 TMEM191B TTLL10 EFCAB11 SHD ATG4A ERI3 RP11-4K3__A.3 TCAF2 ARL8A RTN4RL1 DCAKD LOX FAM171B RP11-286H15.1 RP11-399B17.1 GRTP1 TAPT1-AS1 UBAP2L HINT3 RP11-82L18.2 TBC1D27 HADHB STAB2 RP11-390P24.1 KHK GCGR DGCR14 ABCB4 CCDC30 CLGN NDUFA4 FAM131A RP1-127D3.4 THRB-IT1 ALS2CR12 NAMPT ZBED8 FJX1 MIR8071-2 RP11-1038A11.1 AC108488.4 CCL4L1 RP11-697E2.9 SCAMP1 ALDH8A1 CALM2P2 RP11-492M23.2 NDUFA11 RP11-1060J15.4 RING1 UBE2FP3 C1orf162 AF131215.9 DYRK4 CMPK2 FAM210B SCNM1 CDC26 YY2 PPP1R9B LRRFIP1P1 DCTN2 SALL2 RP11-455F5.3 TXNDC5 C8orf37 DERL2 USP6NL CMTM3 C10orf11 UGCG C1orf27 GARNL3 ZNF131 MRPS23 HRSP12 ACAA1 SOCS2 SRP14 
LRRC43,178,SIM2 MGAT4B ANK2 ZNF663P ASXL3 TWIST2 FOXO1 OGT FAM196A IDUA TP53AIP1 P4HB RAB11FIP3 SLC25A37 SUPT3H AC010226.4 TK1 GRIK5 KPNA5 GSTM1 AC109309.4 PFKP MYO9A PDIA4 FAM189A1 HPR HIST1H3B CSTF3 P2RX6P RP11-554A11.4 FAM204A RPL23AP82 BTNL2 C5orf17 DNM1L HNRNPCP2 FLVCR1 POLQ CELF5 AC141928.1 MRPS10 STX16 FBXL3 MRPS26 RP11-399J13.2 CH25H AC005154.7 C11orf31 C11orf98 CHERP C14orf2 TRABD2B UBE2MP1 PTMA PAK1IP1 SLC16A6 RORC APOC2 RP6-74O6.2 RP11-347C18.3 CTD-2555K7.2 RP11-334C17.6 TRPM8 NUDT16 SLC4A8 CMSS1 RP11-687F6.5 RP11-48B3.5 RP11-111M22.3 SPARC RP11-712B9.2 SLPI ADPRH CXCL5 LRRC7 AC114730.3 LDLRAP1 ORM2 RP11-235E17.6 NR4A1 ZFP14 ZNF169 KDM3B TNFSF15 MT-TY AGBL2 RP11-12J10.4 RP11-110I1.5 HCN3 OXCT2 GTF2IRD2P1 PRPF31 MAP3K6 NDUFAF4P3 MYO18A BNIP3 AC068282.3 RP4-614O4.11 WDR17 GPR174 MSR1 TP53TG1 RPS3P6 MIR27B AD001527.7 AVPR2 ZFP2 PTRH1 ZNF487 TNFSF4 ZNF141 RP11-430K21.2 GPR82 CTD-2035E11.3 CALCB HOXC11 CDK17 AGT GMPR2 HELLS RP11-350D17.3 PPP1R3F HELB BTK TLE1P1 LINC01556 RP11-215P8.3 RP11-162A12.2 CHRND RP11-1280N14.3 CEP85 PBDC1 KRTAP5-10 KRT8P42 AC022819.3 GTF2F1 RP11-699L21.1 BRCA2 HMGB1P41 RP11-220C2.1 ZBTB7A UTP15 RP11-38L15.8 PHF2 RP11-552F3.12 CD70 IKBKB REG4 AC092670.1 RP11-22N19.2 CST6 RP11-730G20.1 ARF3 TAF1A-AS1 STIM1 AP000344.4 RPP14 DYNLL1-AS1 ZNF568 RALBP1 METTL22 RP11-95D17.1 RRP1B MVD SLC30A9 CASP2 WBP5 TESC KIAA1324 CDC25B NOL3 NEK4 TMEM68 UNC119 BOD1 TRIO BCL2L13 EIF3A 
RP11-260M2.1,178,STAC AOX1 ETNK2 LINC00857 ARHGEF38 GRAMD1A RNASEL MRVI1 C17orf70 RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 RP11-115H18.1 TP53INP2 ATP1A4 CYTH2 RP11-154H23.3 TPX2 CTHRC1 RP11-223I10.1 ZNF707 GEM RP1-267L14.6 NTRK1 TSPYL2 ALDH18A1 HAUS2 UCKL1 MGAT3 RECQL H2AFX RFX3 TNIK THPO DVL2 LINC00282 GPC1 VN1R1 SLC25A38 CH17-360D5.3 FOXN3-AS1 MPP4 DPP7 MTERF2 EMB NPFFR1 CTD-2015H6.3 SDR16C5 KIAA0556 PSPN CFTR SLC16A13 AP000254.8 AP001062.7 STK25 RP5-965G21.3 MARCH11 RP11-390K5.6 ACYP1 AP001437.1 RP11-356B19.11 AC137723.1 CRHR2 ZKSCAN8 AC011330.13 POFUT2 ACSL6 NCKAP1L RP11-312B8.1 FYTTD1 BRWD1-AS2 DNPEP ATP5J2 ANKRD18CP PICK1 C1orf189 TMPOP2 USP32P3 CALU CHRNA10 MLK4 HNRNPLL ODF2L TNRC6C-AS1 AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 FBXO16 RCAN3 RP5-1136G13.2 AC024560.2 CTD-2527I21.15 ALOXE3 LMOD2 PCCA EHBP1 CRYBB3 MTOR MRPL45 HCG15 RP11-85A1.3 DTX3 GIMAP7 ANLN SLC39A6 TLL2 AC004623.3 DNAI1 AFF3 MTMR12 STX18-AS1 CHMP2A STARD7 DHX15 SMOC2 PTK2B ATG101 EIF2A TOLLIP-AS1 SEZ6 SPCS2 ATP6V1D SDCBP GLTSCR1L PTH2R BRD4 RP11-616M22.5 CTD-2336O2.1 RP11-400F19.18 ZNF358 DNAH6 RP11-53B2.6 CDR2 CCAR1 RP11-472N13.3 GUSBP9 PFDN1 ELP2 RP11-923I11.6 FAM3D IGKV6-21 SLC35G5 GTPBP1 RUFY4 ZSCAN12 CHRM4 RP4-669P10.20 CDIPT-AS1 RP11-563H6.1 RP11-373N22.3 PRAM1 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 RP11-275I14.4 NQO2 DENND3 RADIL SMO C15orf40 RPS3AP6 NTNG1 ZNF800 ZFYVE9 PRDM4 HAPLN3 MRPS22 CNNM4 C1orf52 TESK2 TUBGCP5 TBPL1 DEF6 CCDC85C BACH1 
CTD-2089N3.1,176,STAC RAB17 AOX1 LINC00857 RP11-510J16.5 MRVI1 C17orf70 JDP2 RP11-872J21.3 TP53INP2 BCHE RP11-154H23.3 TPX2 RP11-17E13.2 RP11-223I10.1 NDUFV2-AS1 ZNF707 SLC25A42 FHL5 NTRK1 TSPYL2 ALDH18A1 UCKL1 CTD-2194D22.3 MGAT3 CTD-3214K23.1 S100A12 RBMS2P1 TWIST1 RP11-496H1.1 KRT6A PPP2R3B TFAP2A-AS1 RP11-260M2.1 DVL2 LINC00282 CTB-152G17.6 DNAH8 VN1R1 SLC25A38 MPP4 LINC00907 DPP7 MTERF2 EMB FOXJ1 RFTN2 NPFFR1 CTD-2015H6.3 SDR16C5 PSPN STK25 MARCH11 RP11-390K5.6 RP11-356B19.11 CRHR2 LINC01037 POLR2M ACSL6 NCKAP1L RP11-312B8.1 RP11-344P13.6 FYTTD1 RASSF10 ATP5J2 ANKRD18CP PICK1 C1orf189 ZNF227 TMPOP2 CALU PABPC5 CHRNA10 RPL35 HNRNPLL CCDC149 ODF2L DOCK11 LATS2 TNRC6C-AS1 AC000403.4 SRD5A3 ANKRD28 AMER1 CPEB2 GCSAM FBXO16 RNF222 RCAN3 ALOXE3 PCCA MTOR GGT5 HCG15 RP11-85A1.3 DTX3 HGF GIMAP7 SLC39A6 TLL2 AC012360.4 AC004623.3 CD33 DNAI1 CYP1B1-AS1 STX18-AS1 CHMP2A USP14 DALRD3 SMOC2 PTK2B ATG101 TOLLIP-AS1 SEZ6 SPCS2 ATP6V1D UBXN1 RP11-755B10.4 SLC29A1 GLTSCR1L RP11-616M22.5 CTD-2336O2.1 ARRDC4 SLC4A1AP RP11-400F19.18 ZNF358 RP11-53B2.6 CDR2 CCAR1 RP3-477O4.14 RP11-118H4.1 RASA2 RP11-472N13.3 PFDN1 CYP4F60P MILR1 ELP2 AC010980.2 IGKV6-21 SLC35G5 CR1L GTPBP1 CTD-2246P4.1 ERMN RP5-1165K10.2 ZSCAN12 RP11-402J6.3 CHRM4 RP11-563H6.1 RP11-755E23.2 PSPC1P1 RP11-373N22.3 SEPT11 RP11-314C16.1 CD97 RP11-9L18.2 CTD-2619J13.3 GFM2 SMO OXTR NTNG1 ZNF800 LAMP1 SOGA1 RP11-390E23.6 PRDM4 CLCC1 TESK2 TUBGCP5 PDHB OSER1 TCIRG1 TBPL1 DEF6 CCDC85C PDE4DIP 
TP53TG1,171,RP11-629G13.1 MGAT4B ANK2 ASXL3 TWIST2 TPRN GYPE FAM196A SRCIN1 RNASEH2B TP53AIP1 AC005534.8 P4HB LRRC49 RP11-497E19.1 XXbac-B135H6.15 WDFY2 CTB-89H12.4 WDR24 RP11-44N22.3 CTD-3064M3.7 GSTM1 MIR7111 FLJ44511 SNCAIP PFKP LRRC43 CARD6 DEK RP11-449J21.3 HPR HIST1H3B CSTF3 P2RX6P XPO5 DNM1L IZUMO1 RP3-522J7.7 HNRNPCP2 SPINK2 AC141928.1 GRPEL1 RP11-586D19.1 DNTTIP2 RP11-31H5.3 STX16 CD81 GSTZ1 CTD-2639E6.9 MARS2 FN3KRP KCNU1 AC005154.7 AL133493.2 PPP4C C11orf98 C1orf116 SLMO2 KDELR1 TRABD2B MIR23A RP11-227G15.11 SLC16A6 RORC RP11-624L12.1 NGLY1 CTD-2555K7.2 LINC01354 RP11-687F6.5 RP11-492D6.3 RP11-48B3.5 USP34 RP11-111M22.3 SPARC RP11-712B9.2 ZNF689 ADPRH NAIF1 RP11-435J9.2 ZNF404 NDUFS4 FAM86B1 DCAF4 ORM2 ZBED2 CTC-303L1.2 GALNT4 NR4A1 C3orf67 TASP1 KDM3B TMEM63C GRPR RP11-12J10.4 CCDC17 RP11-110I1.5 HCN3 OXCT2 GTF2IRD2P1 PRPF31 NDUFAF4P3 SLC25A26 BNIP3 AC068282.3 RP11-177H2.1 RP11-506M13.3 IFITM3 AP000640.10 CACUL1 ZNF57 SEMA4A MIR27B RPL13AP3 AVPR2 ZFP2 LINC00571 TNFSF4 ZNF141 RP11-430K21.2 AGT GMPR2 TNNT1 RP11-350D17.3 HELB CTB-12A17.2 TLE1P1 LINC01556 RP11-61A14.4 BLMH RP5-981L23.2 PBDC1 KRTAP5-10 TBX2 FAM173B CAMTA2 GTF2F1 RP11-220C2.1 RP11-473M20.9 RP11-274B21.13 RP11-38L15.8 EEF1DP1 LINC01554 CRYM-AS1 BRD3 RAD21 LGR4 REG4 AC092670.1 RP11-730G20.1 AP000344.4 RPP14 CDHR3 ZNF620 ZNF568 RP11-95D17.1 MVD DHX57 CASP2 OSGIN2 TESC DCP2 CDC25B PSMD14 ZNF780B PTPRF TMEM68 UNC119 TRIO RMND5A RNF5 ADAR 
TOLLIP-AS1,171,STAC AOX1 ETNK2 GRAMD1A RP11-510J16.5 HID1 RNASEL JDP2 RP11-872J21.3 CTD-2089N3.1 TP53INP2 ATP1A4 CRIPAK BCHE CYTH2 RP11-154H23.3 TANGO6 TMEM139 RP11-17E13.2 ZNF707 SLC25A42 UOX ALDH18A1 HOXB-AS2 BEGAIN CLDND1 CTD-2194D22.3 MGAT3 S100A12 RBMS2P1 FAM98C UBOX5-AS1 MTHFR RECQL BAIAP2L2 RP11-496H1.1 H2AFX KRT6A RFX3 TFAP2A-AS1 SOX2-OT RP11-260M2.1 DVL2 ARPC3 GPC1 VN1R1 NT5C1B MPP4 LINC00907 MTERF2 EMB FOXJ1 RFTN2 RP11-173M11.2 NPFFR1 CTD-2015H6.3 PABPC1L2B-AS1 GNG3 PSPN RAD51 AP000254.8 STK25 LINC00989 MARCH11 RP11-390K5.6 RP11-356B19.11 AC137723.1 AC011330.13 LINC01037 POLR2M ACSL6 NCKAP1L RP11-312B8.1 FYTTD1 POP1 ATP5J2 PICK1 C1orf189 ZNF227 TMPOP2 CTD-2562J17.6 CHRNA10 HNRNPLL MFGE8 U2AF1 ODF2L LATS2 TNRC6C-AS1 AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 CPEB2 FBXO16 RNF222 GNRH1 AC024560.2 AL589822.1 LINC01496 AK7 DTX3 HGF GIMAP7 TLL2 DPP6 AC012360.4 CD33 TRIM16L CYP1B1-AS1 STX18-AS1 CHMP2A DALRD3 ITIH4 PTK2B ATG101 KLHL6 SPCS2 UBXN1 PRPF40A GPR171 GLTSCR1L MT-ND1 PTH2R IST1 CTD-2336O2.1 ARRDC4 RP11-400F19.18 ZNF358 CDR2 RP11-118H4.1 RASA2 RP11-472N13.3 GUSBP9 PFDN1 CYP4F60P RP11-21L23.3 FAM3D MRPL11 AC010980.2 SLC35G5 CTD-2246P4.1 RP11-474D1.4 RP11-402J6.3 LPPR3 CHRM4 RP4-669P10.20 RP11-563H6.1 RP11-755E23.2 TREM1 PSPC1P1 RP11-1152H14.1 RP11-373N22.3 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 GFM2 RADIL NTNG1 SOGA1 PRDM4 FCGR3A ARFGAP2 TESK2 TUBGCP5 PGC SENP3 DEF6 EDC4 PDE4DIP 
DVL2,168,STAC AOX1 ETNK2 ARHGEF38 GRAMD1A RP11-510J16.5 RNASEL MRVI1 JDP2 RP11-872J21.3 CTD-2089N3.1 TP53INP2 ATP1A4 BCHE CYTH2 RP11-154H23.3 RP11-17E13.2 ZNF707 ATP6AP1 NTRK1 ALDH18A1 HAUS2 HOXB-AS2 BEGAIN MGAT3 S100A12 RBMS2P1 FAM98C RECQL BAIAP2L2 RP11-496H1.1 H2AFX KRT6A RFX3 PPP2R3B TFAP2A-AS1 SOX2-OT RP11-260M2.1 GPC1 VN1R1 NT5C1B MPP4 MTERF2 EMB FOXJ1 NPFFR1 LINC00535 CTD-2015H6.3 PABPC1L2B-AS1 PSPN RAD51 CFTR AP000254.8 STK25 LINC00989 RP5-965G21.3 MARCH11 RP11-390K5.6 RP11-356B19.11 AC137723.1 CRHR2 AC011330.13 LINC01037 POLR2M ACSL6 NCKAP1L RP11-312B8.1 RP11-344P13.6 FYTTD1 POP1 ATP5J2 PICK1 C1orf189 ZNF227 TMPOP2 CTD-2562J17.6 CHRNA10 RPL35 HNRNPLL MFGE8 ODF2L TNRC6C-AS1 AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 FBXO16 RNF222 RCAN3 GNRH1 AC024560.2 LMOD2 PCCA AL589822.1 DTX3 ANLN TLL2 DPP6 AC012360.4 CD33 DNAI1 MTMR12 CYP1B1-AS1 STX18-AS1 CHMP2A USP14 DALRD3 ITIH4 PTK2B ATG101 TOLLIP-AS1 SPCS2 PRPF40A GLTSCR1L MT-ND1 PTH2R IST1 CTD-2336O2.1 ARRDC4 FTH1P4 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 CDR2 RP11-118H4.1 RASA2 RP11-472N13.3 GUSBP9 PFDN1 CYP4F60P MILR1 FAM3D MRPL11 AC010980.2 SLC35G5 GTPBP1 CTD-2246P4.1 RP5-1165K10.2 ZSCAN12 RP11-402J6.3 LPPR3 CDIPT-AS1 RP11-563H6.1 RP11-755E23.2 PSPC1P1 RP11-373N22.3 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 GFM2 STARD3 RADIL SMO NTNG1 ZNF800 SOGA1 PRDM4 FCGR3A ARFGAP2 TUBGCP5 PGC TBPL1 DEF6 CCDC85C PDE4DIP 
UTP15,164,MBNL1-AS1 CHRM2 SLC24A3 NUDT17 FABP7 GPM6B ZNF663P ASXL3 FOXO1 AC009299.5 RP11-3D4.3 KLHL17 NCLN RAB11FIP3 IRF7 AC010226.4 TK1 CEP131 PRSS16 CYP27B1 CD99L2 GRIK5 KPNA5 BNIP3P27 NUF2 GSTM1 CTC-461F20.1 TUBGCP3 AC010761.9 PFKP LRRC43 TUBB2A MYO9A CYP4F12 FAM189A1 TUBB3 HIST1H3B RP11-73M18.8 RP11-583F2.1 P2RX6P BTNL2 ENTPD1 SH3D19 FLVCR1 MT1X CELF5 ATAD1 MRPS26 RP11-399J13.2 AC005154.7 C11orf31 PCDHB9 CNTNAP1 RASAL1 PAK1IP1 SLC16A6 AKAP2 WHAMMP2 WDR63 RP6-74O6.2 NUDT16 GUCA1B CMSS1 ZFP41 CXCL5 AC114730.3 ISG15 KCNJ2-AS1 LINC00461 LDLRAP1 MYLPF FRMD5 SLC38A11 AF186192.6 KDM3B TNFSF15 BOD1L1 MT-TY CTB-13F3.1 CTD-2044J15.1 C8orf89 MYO18A CTB-33G10.1 ZHX1 SLC2A14 KCNJ2 RP11-50D9.1 ZNF260 FAM43B TATDN3 RPS3P6 HERC1 MIR27B AD001527.7 RP11-368N21.5 LRP10 RP11-131L12.3 ABCD1 CALCB FAM19A4 HOXC11 CDK17 CTD-2574D22.2 AQP4-AS1 HELLS HELB EDA BTK NUDT4 USP6 RP11-215P8.3 RP11-162A12.2 CHRND RP11-68L18.1 KRTAP5-10 RP11-667M19.9 KRT8P42 ENAM RNU6-415P KLHL8 DLD DHRS9 RP11-699L21.1 TMEM31 POGLUT1 XXbac-BPG55C20.7 BRCA2 ARAP1-AS2 LOC401913 ZBTB7A C9orf89 C2CD4B IGKV1OR2-108 RP11-38L15.8 PHF2 RP11-1072A3.4 TSPAN12 RP11-164P12.4 RP11-796E2.4 AL158801.1 STIM1 PHC2 TMX2P1 CKLF HEATR5B DYNLL1-AS1 CTC-534A2.2 RB1CC1 METTL22 CPT1A FAM195B INVS METTL13 TESC KIAA1324 NOL3 BOD1 TMED10 RPAP1 IWS1 FUBP3 BCL2L13 EIF3A YWHAZ 
RP11-373N22.3,163,STAC AOX1 NRG2 ARHGEF38 RP11-510J16.5 RNASEL MRVI1 SH3BGR RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 RP11-115H18.1 TP53INP2 ATP1A4 BCHE CYTH2 TPX2 DYRK1B CCT3 RP11-17E13.2 ZNF707 RP1-267L14.6 NTRK1 ALDH18A1 HOXB-AS2 MGAT3 RBMS2P1 RECQL BAIAP2L2 H2AFX KRT6A RFX3 PPP2R3B ADAMTS15 RP11-260M2.1 DVL2 CTB-152G17.6 GPC1 VN1R1 RPL7AP60 NT5C1B MPP4 MTERF2 EMB FOXJ1 NPFFR1 LINC00535 CTD-2015H6.3 SDR16C5 CFTR STK25 CHI3L1 RP5-965G21.3 MARCH11 RP11-390K5.6 FAM200A AC137723.1 CRHR2 AC011330.13 NCKAP1L RP11-312B8.1 FYTTD1 BRWD1-AS2 RASSF10 POP1 ATP5J2 SLC7A9 PICK1 C1orf189 TMPOP2 CTD-2562J17.6 HNRNPLL ODF2L AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 FBXO16 RCAN3 IL1RAPL1 GNRH1 RP5-1136G13.2 AC024560.2 PCCA EHBP1 CRYBB3 HCG15 DTX3 GIMAP7 ANLN TLL2 CD33 TRIM16L DNAI1 CYP1B1-AS1 STX18-AS1 DALRD3 STARD7 DHX15 SMOC2 PTK2B EIF2A TOLLIP-AS1 SPCS2 PRPF40A SDCBP RP11-350N15.4 GLTSCR1L MT-ND1 PTH2R BRD4 RP11-616M22.5 CTD-2336O2.1 ARRDC4 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 RP11-53B2.6 WDR78 CDR2 CCAR1 RP3-477O4.14 RP11-118H4.1 RP11-472N13.3 GUSBP9 PFDN1 MILR1 ENTPD7 ELP2 FAM3D MRPL11 AC010980.2 SLC35G5 RUFY4 RP11-563H6.1 RP11-755E23.2 PSPC1P1 RP11-1152H14.1 SEPT11 CD97 CTD-2619J13.3 NQO2 GFM2 SMO NTNG1 ZNF800 SOGA1 PRDM4 HAPLN3 FCGR3A CNNM4 ARFGAP2 SMIM15 TUBGCP5 PGC TCIRG1 TBPL1 DEF6 CCDC85C BACH1 GPBP1L1 
NDUFA4,163,SOX15 SERPINB5 PRICKLE2 ANXA2P2 PHF19 PRELID2 C9orf163 DBNDD2 CDKL1 MAPRE1 MAML2 EDIL3 NFE2L2 GTSE1 FAT4 ANXA4 SYDE1 MIR31HG PAQR3 SHMT2 HMG20A BMPR1A RP4-616B8.4 PPP4R1L SLC7A11 MAPK14 MECP2 FN3K STK35 WDR4 B3GNT5 RP11-277B15.3 MYOZ1 DUSP15 RP11-182J1.17 AC092066.1 MYOT WDR74 DICER1-AS1 LINC00997 RPS29 AC019181.3 CCT8 FAM114A1 TMEM259 PAGR1 NMI AAMP GNA11 RP11-85B7.2 CTC-232P5.1 NXPH1 AC080094.1 CTD-2350C19.2 RP11-212I21.2 CD9 PWRN1 SC22CB-109E1.1 ZNF841 AC019100.3 SEPHS2 MALL LINC00937 LIPC SEMA6A-AS1 GNPNAT1 DNAAF1 RP5-907C10.3 RP11-373D23.3 ERICH6B GDE1 SCARNA9 C8orf44 THUMPD2 ZNF555 CTB-176F20.3 SLC22A20 RASEF SEC22C MDM4 LDLRAD3 BEX2 PPAPDC1B RP11-312J18.5 IGHV7-81 ATP1A1-AS1 ERN1 SLC35F6 RP5-882O7.1 ANKRD54 RPS7P1 AC008746.5 RP1-118J21.25 TMEM191B SCML2P2 TTC17 RP11-416N2.4 ERI3 ARL6IP4 RP11-4K3__A.3 TCAF2 ARL8A ERLIN2 RP11-106M3.3 CTH CTD-2033D15.3 CYCSP10 DCAKD CSRP2BP LOX WT1 RPL39P36 RP11-327J17.9 GPR56 PEX12 POMK IGLV1-41 TAPT1-AS1 ZNF175 RP11-82L18.2 STAB2 RP11-390P24.1 KHK RP4-742J24.2 CCDC30 CLGN HOXA2 FAM131A RP11-685N10.1 RP11-16F15.1 FJX1 RP4-612B15.2 RP11-757G1.5 FABP6 NPY2R MFN1 C21orf2 AC108488.4 LL0XNC01-237H1.2 UNK RAB3C FAM185BP TRI-TAT2-2 NDUFA11 AC018804.6 ZNF639 RAF1 XXbac-B444P24.10 C1orf162 AF131215.9 DYRK4 MST1L PBX4 USP39 LRRFIP1P1 DOK2 GCSAML SUCLG2 FBXO38 DAPK3 PWWP2A CAMSAP1 OAF 
LARP1B,160,ZNF488 ARHGAP20 RASL12 KITLG ADAMTS18 SCN2B LINC00665 NMUR1 DENND2C COX7A1 TMEM210 RP11-483P21.2 GLIS3 EDA2R SERPINF1 FMN2 OSR2 INHBC RP11-351J23.2 PLCB1 CTD-2547H18.1 VANGL2 CENPU SYTL3 RBM5 RP11-413E6.1 LENG8 KCNH3 ACE TARS BTG2 PLXNB3 LA16c-358B7.3 RIPK4 RP5-858B6.3 TBC1D5 RP11-798M19.3 RP3-394A18.1 TBX19 ATG14 AC115522.3 RP11-168K11.2 FABP4 GNPDA2 RAB8B RP11-32B5.1 GTF2H4 IMPG1 WDR45 GPR97 NFYC-AS1 RP11-266A24.1 PRAP1 F2R UBE2Z PTP4A2P2 AP001372.2 ENTPD1-AS1 PNLIP DPF3 AC000078.5 DENND4C RP11-40C6.2 ZNF319 CXorf56 LILRA6 CCR2 TACR1 RALY LGALS17A FTSJ2 SEL1L AP000251.3 RP11-266L9.5 MARVELD2 PSMC5 PLEKHF1 TRIM25 STOML3 TNFAIP8L1 KDM5B NDUFA4L2 MAFA RP3-449M8.6 RP11-156E8.1 ABCA11P C21orf33 CXCR6 FAM120C SEC14L1P1 GBA3 DCTD SATB1 AC018738.2 BSN KBTBD6 NPIPB15 FBXO36 RP11-462L8.2 ITGA4 OXGR1 BATF3 C6orf132 FAM182A HMP19 EEF1A1P24 LINC00449 TM9SF3 FAM132B MRPL21 CCNYL1 NOSIP ZNF324B ARL5A ANAPC4 CHI3L2 NLRP11 GAPDHP40 RFT1 B3GALT1 PSME2P2 ZNF285B ZNF625 SLC25A15 ACKR1 LRRC75A CCNK RP11-114H24.6 CFAP53 C17orf77 NAPA TMEM110 GRK1 DNAJA2 PCDH19 RP11-426D19.1 HRH3 PALM2 HMGN1P37 TRMT10B CTD-2031P19.4 FAM221B BROX GYG2 INAFM2 ZZZ3 SPEF2 SUDS3 PHTF1 KDM2A UBE2L6 ADIPOR2 MAN2A1 CCDC186 TFAP2A CLCN6 SZRD1 CTSC THUMPD3 RBBP4 
