Gene,Number of connections,Connected genes
GSDMD,6,HMGB1 ELANE CASP4 CHMP4B BAX IL1B 
RIPK1,6,STAT1 SLC25A5 CASP2 CRADD BIRC3 BIRC2 
SPP1,6,MMP7 MMP3 SP1 FAM20C ITGB1 MAP3K1 
GADD45G,6,MAP2K6 MAP2K3 CCNB3 CCNB2 CCNB1 PCNA 
RFC5,6,BRIP1 CHTF18 RPA2 TOPBP1 TOP3A POLR2J 
SP5,6,TRIM28 CEBPB SIRT6 ZBTB33 MAFF MAFK 
SMC5,6,STAG1 NSMCE2 NSMCE1 UBE2I EID3 SMC1A 
FBXW8,6,GLMN COPS4 COPS7B TRIM69 FBXL13 SKP2 
RRAGA,6,ATP6V1F RRAGC RPS27A LAMTOR3 ATP6V0D1 ATP6V1C2 
DYNC2LI1,6,IFT80 TTC26 DYNLRB1 IFT27 TTC21B KIF3A 
SCRIB,6,LLGL1 DLG1 DLG2 YAP1 VANGL2 UBE3A 
GPS2,6,KDM1A ELF1 HELZ2 MED1 GABPA CREBBP 
RPL36AL,6,RPS4Y2 RPS9 RPS4Y1 RPS15A RPS7 RPS21 
GFRA1,6,DOK1 PLCG1 MAPK7 FRS2 GAB1 GRB10 
SET,6,E2F1 ARID2 SMC2 ANP32A MCPH1 XPO1 
SNAPC1,6,RPRD1B ZNF143 ZC3H8 POLR2C POLR1C CCNK 
CXCL12,6,ESR1 FGR GRK6 GNAI3 RALB SRC 
STON2,6,ZNF318 ZNF750 CREB3 COPS3 DNAJC6 CLTB 
FBXO22,6,RBCK1 FBXO27 RNF115 FBXL18 UBB RNF19B 
GAN,6,GPS1 COMMD1 COPS7A COPS7B COPS2 COPS5 
SCO2,6,COX7B COX6A1 COX5A TP53 COX6B1 NDUFA4 
GP1BA,6,FLNA F2 SERPINC1 SERPIND1 ITGB2 LYN 
SLIT3,6,ESR1 NME2 SOX2 ROBO2 ZNF92 DCC 
SPDL1,6,BUB1 RCC2 DYNC1LI1 NUP43 CKAP5 ZWILCH 
SMG6,6,PPP2R2D PPP2R3C RPS11 SMG9 EIF4A3 RPS19 
EFHC1,6,ZNF318 CREB3 ZHX1 KDM5B TERF2 GTF2B 
SNAPC3,6,RPRD2 BRF2 POLR2I ELL3 ICE2 POLR3A 
DSG2,6,CASP3 DSP PKP4 PKP3 PKP1 TFAP2A 
EZH2,6,ZBTB33 KMT2D CHD2 DNMT3A JARID2 POLR2I 
F2RL2,6,PRSS3 CTSG CDC42 CYSLTR1 CTNNA1 CDH1 
SHANK3,6,PIK3R1 DLGAP1 DLGAP4 DBNL SHARPIN DLG3 
RRP9,6,WDR46 DHX37 EXOSC10 RPS11 BOP1 IMP3 
GDF11,6,ACVR2A ACVR1B AMHR2 ACVR2B BMPR2 BAMBI 
SNRPA,6,SRSF6 LSM6 SRSF11 SF3B4 RBM22 PRPF31 
DTX1,6,ADAM10 PSENEN UBC NOTCH4 APH1B PSEN1 
FANCI,6,RAD17 FANCE HES1 RPA3 PALB2 RPS27A 
ETV1,6,RP11-353N14.5 KCNN3 MAPK11 ANKRD44 UTRN PDE9A 
DTNB,6,HES1 GATA4 ZNF207 TERF2 GTF2B ZNF750 
SMNDC1,6,SRSF7 SRSF2 WBP11 CPSF1 CSTF2 RBM22 
ENO1,6,TAF1 E2F6 SMAD5 MYC YY1 ARNT 
RGS4,6,PLCL1 PLCE1 PLCD3 PLCD1 PLCG1 PLCB1 
DSG3,6,CASP3 TFAP2A PKP4 PKP1 DSP PKP3 
GAS6,6,AXL FAM20A MERTK GGCX FAM20C FURIN 
FGD4,6,ZHX2 RHOB RHOC RAC1 CBX2 CDC42 
RGS3,6,GNAI2 GNAI1 EPHB1 GNA11 GNA15 EFNB2 
SLC25A6,6,SLC25A5 TIMM9 TIMM22 TIMM10 TIMM10B VDAC2 
REV1,6,MAD2L2 PCNA GLYR1 POLI RFC3 TGIF2 
SHARPIN,6,OTULIN PBX3 SHANK1 SHANK3 SHANK2 CHUK 
EP400,6,CABIN1 ACTB ASF1A RUVBL1 SMAD4 EPC1 
CTSZ,6,BID AGT XIAP RAB1A SEC16A SEC24D 
DENND4A,6,ZNF263 RAB10 GDI1 GDI2 CHM NFKB1 
SUPT3H,6,ELF1 SUPT20H TADA2B TRRAP KAT2A TAF5L 
ROBO2,6,NCK2 PAK6 PAK2 AKAP5 ABL1 SLIT3 
DES,6,ACTN2 TNNI2 TPM2 TTN VIM TPM3 
CREB5,6,PCK1 G6PC3 PPP1CC MAPK1 PTGER4 ZNF516 
SFTPA2,6,RELA CREB1 CKAP4 SFTPD SFTPB CSF2RA 
RHOF,6,FARP1 BAIAP2L2 BAIAP2L1 ARHGAP1 DIAPH1 DIAPH2 
SEC23IP,6,CNIH3 TRAPPC2B TRAPPC6A SEC24B SEC24C SEC31A 
SRI,6,ATP2A1 SLC8A3 SLC8A1 RYR3 RYR1 CAMK2A 
EPHA6,6,EFNB1 ABL1 EPHB1 RASA1 EFNA5 ADAM10 
RPLP0,6,SEC61B RPS4Y2 RPL9 RPL8 RPL35A UBA52 
RPRD1B,6,CCNT2 SNAPC1 SUPT4H1 TAF13 SUPT5H TAF5 
GCC2,6,STX6 RAB43 VPS54 RAB9A SYS1 RAB9B 
SRSF11,6,SNRPB2 NXF1 SNRNP40 SNRPA CPSF1 U2AF2 
EPHA2,6,PDGFC SRC TIAM1 ACP1 RASA1 PLCB4 
EPS8,6,CAPZB CAPZA1 CASK BAIAP2 CIB2 EGFR 
STK4,6,E2F1 FOXO6 FOXO1 RASSF1 LATS2 SAV1 
RPL26,6,RNPS1 RPL15 RPL29 SMG9 MAGOH RPS11 
DCP1A,6,RPS17 FOXH1 EDC3 LSM7 XRN1 RPL14 
EIF4A1,6,EIF2S1 CNOT10 EIF4E2 PAIP1 RPS9 CASP10 
DNAJB1,6,CCAR2 SIRT1 RPS19BP1 MAPKAPK5 DNAJC3 HSF1 
SNX9,6,VAMP4 CLTB SGIP1 EPN2 RPS27A ACTR3 
RYBP,6,PHC3 PCGF2 E2F7 E2F3 PCGF5 RING1 
CUBN,6,ZNF589 LRP2 GC ZNF83 LHX2 CTCF 
DNAI2,6,DCTN2 SOD1 DCTN6 HTT ACTR1B TUBB 
SLC9A3R1,6,PRKACB SLC34A1 SLC34A2 SLC34A3 GNA14 RDX 
RNF38,6,ZBTB11 ARID3A GTF2B HBP1 ARID2 ZNF207 
SNRPG,6,SF3B1 POLR2G NUP133 SNRPA1 DNAJC8 PCBP2 
RPP21,6,RPP38 RPS29 RPP40 RPS19 RPS20 RPS18 
SNX18,6,PIK3C2G PIK3CG PIK3C2A PIK3C2B DNM2 PIK3CB 
RHOT1,6,TRAK1 USP30 MYO19 TRAK2 RAP1GDS1 PINK1 
SFTPD,6,JUNB DMBT1 SFTPA2 SFTA3 CEBPA SFTPA1 
EPHB4,6,EFNB2 APH1B EPHA10 GIT1 EPHA3 EPHA4 
DEPDC5,6,MLST8 MIOS LAMTOR5 KPTN MTOR ATP6V1C2 
EXOC1,6,RHOQ RAB10 EXOC6 MYO5A RAB14 CNGA4 
FBXL13,6,RBX1 FBXW8 RNF114 FBXW10 LONRF1 FBXO9 
RPRD2,6,TAF9 TAF6 SNAPC3 TAF13 INTS12 INTS2 
GABBR1,6,NPY GNG13 GNG11 EDN1 GNG10 GABBR2 
SNRPD3,6,SF3A3 SEC13 LSM6 CLNS1A SF3A1 SYMPK 
SSR1,6,RPL32 SEC61B SSR2 DDOST SPCS2 RPL35 
SGK3,6,FOXO6 PDPK1 UBC TSC22D3 WNK1 FOXO3 
SLC6A3,6,PRKCA DRD2 STX1A SNCA CAMK2A PRKCB 
RRM2,6,TP53 TXN RRM1 SIN3A E2F1 SMAD5 
RET,6,PDLIM7 PDGFC DOK6 NRAS MST1 FGF2 
FUZ,6,SIX5 IFT57 FOXK1 KIF7 GLI2 IFT172 
FGF22,6,FGF10 CBL IL1RAP MAPK1 FGFRL1 ERBB3 
EDNRB,6,EDN3 SLC9A3 GNAI3 GNAI1 GNA11 GNA15 
DAXX,6,SUZ12 RASSF1 MAP3K5 CFLAR POLR2G CASP2 
RPS26,6,SMG9 EIF2S2 RPL41 SSR4 RPL13 RPL23A 
GABRA5,6,GABRA2 PLCL1 SATB1 UBQLN1 GABRA3 GPHN 
FOXN2,6,E2F6 PAX5 MAFF SETDB1 MAFK SREBF1 
EIF4G3,6,EIF4E2 ARIH1 ISG15 HERC5 UBE2L6 EIF4E3 
RPL34,6,RPS27A RPL37A RPL37 RPL7A RPS4Y1 EIF4G1 
DMC1,6,PSMC3IP RPA3 MSH5 MSH4 BLM MND1 
GABPB1,6,MAX E2F1 HMGN3 GABPA PPRC1 MYC 
SNAI2,6,KITLG ATF2 CTCF CHD3 SALL4 YAP1 
SFTPA1,6,CSF2RA CKAP4 SFTPB TLR1 TLR4 SFTPD 
SSH1,6,PPP3R2 PPP3R1 CXCR4 CFL1 CFL2 FGF1 
TLR1,5,CHUK HSPA9 SFTPA1 IRAK3 CD14 
GDF5,5,NBL1 ACVR2B BAMBI GREM2 AMHR2 
MRGBP,5,EPC1 CTCF DMAP1 MORF4L1 KAT5 
LAMB3,5,PLG MMP14 CD44 COL17A1 SV2C 
MOB1A,5,LATS2 AMOTL2 AMOTL1 YAP1 SAV1 
MOB1B,5,AMOT AMOTL2 LATS1 LATS2 AMOTL1 
MPL,5,FLI1 IFNE IL17D TYK2 IL11 
CCZ1B,5,RAB7A GDI2 CHML GDI1 CHM 
MMS19,5,BRIP1 TGIF2 ZNF766 ERCC2 NUBP1 
ASIC4,5,ZNF318 ZNF644 ASIC3 ASIC2 ASIC1 
GFRA2,5,GRB7 RAP1GAP GRB2 HRAS GAB2 
BNIP2,5,BOC MAPK14 CDH15 CDH2 MAPK12 
SPTLC1,5,ORMDL3 ORMDL2 ORMDL1 SPTSSB SPTSSA 
BNIP3L,5,GABARAP GABARAPL2 STEAP3 GABARAPL1 SP1 
TNC,5,FAM20A ACAN SDC4 BCAN SRC 
BMP8A,5,PRKAA1 GREM2 BAMBI NBL1 AMHR2 
AP1G1,5,AP1M2 AP1M1 CLTC CLVS2 HLA-B 
GDF9,5,ACVR2A ZNF639 BMPR1A TGFBR2 ACVR2B 
MPDU1,5,ZBTB11 ZNF644 ALG9 ALG12 ALG3 
UGT2B7,5,AKR1C2 ADH6 ADH5 ADH1C CYP2A6 
RPS2,5,PRMT3 UPF1 EIF4E 3 RPL37 
APAF1,5,BAX AVEN BCL2 CARD8 CASP3 
APC2,5,ARHGEF4 SPATA13 PPP2R5D PPP2CB CSNK1D 
SPTLC3,5,ORMDL3 ORMDL2 SPTSSA SPTSSB ORMDL1 
SNRPB2,5,SRSF11 CTNNBL1 SRSF9 PHF5A U2AF2 
DENND3,5,ULK1 GDI2 CHML CHM GDI1 
TMEM186,5,TMEM126B NDUFS8 NDUFB6 ECSIT NDUFS4 
BNIP1,5,COPZ1 COPA KDELR2 ZW10 NAPA 
TMEM216,5,CEP164 CEP89 AHI1 TCTN2 ALMS1 
TLE2,5,HES1 TCF7L1 SMAD4 UBC HDAC1 
EHHADH,5,PEX12 PEX5 CD14 JUN PEX10 
NKD1,5,TEAD1 ARR3 DVL3 MAPK1 LEF1 
TJP2,5,RAPGEF2 CASP3 WWTR1 MYC MLLT4 
MPP1,5,FSCN2 SPTAN1 RDX ESPN MYO7A 
IPPK,5,IP6K3 IP6K2 IP6K1 PPIP5K1 IPMK 
CD163,5,HBB HP MYH9 ADAM17 SP1 
MON1A,5,GDI2 RAB7A CHM CHML GDI1 
APBA3,5,STXBP1 NRXN3 NRXN1 NRXN2 APBB1 
SCNN1A,5,WNK3 WNK1 WNK2 UBB NR3C2 
GFAP,5,NFIC HSPA8 EEF1A1 PRNP STAT4 
GEMIN7,5,SNRPD2 AAAS GEMIN6 GEMIN4 RAE1 
PAFAH1B3,5,EP300 PAFAH1B2 SNAPC4 RELN PAFAH1B1 
SLBP,5,AAAS RAE1 SNRPF SEH1L SNRPE 
SPTLC2,5,ORMDL2 ORMDL1 SPTSSA ORMDL3 SPTSSB 
FBRSL1,5,ZNF263 HMGN3 MBD3 KDM5B SETDB1 
MAP3K8,5,GCK MAP2K5 NFATC2 MAP2K1 IKBKG 
IRF2BPL,5,FOXA1 MAFK MAFF E2F1 NR3C1 
LRPPRC,5,TCF12 SMARCC1 COX7B COX11 JAK1 
LRP8,5,ARHGEF2 APOE CRKL RELN FGR 
GGA1,5,RAB5A RABGEF1 RABEP1 RAB5C BACE1 
ANG,5,REST CEBPB POLR3A ARID2 USF1 
ROR2,5,FZD6 MAPK10 VANGL2 FZD1 CLTC 
UGT1A8,5,AKR1C2 ADH6 CYP2A6 ADH1C ADH5 
ANGPT2,5,GATA2 FOS ERBB4 TEK FGFR2 
EIF3CL,5,EIF1B EIF1AX EIF1AY EIF2S3 EIF5 
UGT2B11,5,AKR1C2 ADH6 ADH5 ADH1B CBR1 
ANGPTL3,5,PCSK6 FURIN GPIHBP1 ITGB3 LPL 
ORMDL3,5,SPTLC3 SPTLC1 TGIF2 ZHX2 SPTLC2 
WIPI2,5,ATG2B ATG3 ATG16L2 GABARAPL2 ATG2A 
EIF2B5,5,FOXA1 EIF2S1 EIF2B3 EIF2B1 EIF2B2 
WIPI1,5,TECPR1 ATG2B ATG2A ATG16L1 ATG16L2 
IL33,5,USP21 SRC MET IL1RL1 FGF2 
SKA2,5,ZWINT ITGB3BP NUP98 DYNLL2 CENPF 
CDK12,5,POLR2I POLR2J ERCC2 GTF2H2 POLR2H 
THBS2,5,PDGFA SDC4 CD36 ITGAV ITGB7 
WIPF2,5,GRB2 CDC42 ACTG1 ARPC4 ACTR2 
WIF1,5,WNT8B WNT10A WNT16 WNT6 WNT3 
LATS1,5,SAV1 NPHP4 WWTR1 MOB1B JUN 
ANKRD28,5,TERT PPP6C GAR1 ACD SEC24D 
THBS3,5,CD36 PDGFB ITGA8 ITGA4 ITGA10 
ANGPT1,5,AGTR1 GRB14 BMX FOXO1 ERBB2 
SRGAP2,5,RAC1 ACTG1 ROBO1 ACTB CDC42 
TTN,5,TNNT3 DES TCAP MYL3 MYL1 
GLP1R,5,ADORA2B CGA SP3 NPPA VIP 
IL13RA1,5,IL7 SHC1 IL16 CXCL8 IL24 
OR7A5,5,GNG7 GNAL REEP1 PRKACA ARRB2 
EIF3K,5,EIF4H EIF3D EIF3G EIF3L RPS29 
MSI1,5,PABPC1 PABPC5 PABPC4 PABPC3 PABPC1L2A 
UGT1A3,5,ADH1C ADH5 CYP2A6 AKR1C2 ADH6 
PSMB9,5,HOXA9 PSMD7 TNFSF11 PSMC2 PTTG1 
CEBPG,5,ATF4 CIITA PAX5 PBX3 RELA 
CEACAM6,5,USF1 MEF2A ITGA5 FN1 NFKB1 
TUBA3E,5,KIF5C TJP1 CCT3 DYNC1H1 GZMB 
PSMB6,5,MAP3K14 ANAPC5 DVL1 UBE2S CUL1 
CDX2,5,TCF7L2 REG4 ABCB1 CDH17 SUZ12 
ORC1,5,MCM2 PSMB3 RPA4 PSMB10 PSMB1 
UGT1A6,5,AKR1C2 ADH5 CYP2A6 ADH1B ADH6 
PSMB2,5,SPOP DVL1 ANAPC2 CDC26 CUL5 
WNK2,5,RAF1 SCNN1A UBC SCNN1G SCNN1D 
WNK1,5,GTF2B SCNN1A SCNN1D UBC SGK3 
IL1R1,5,TCF4 MTOR IL1RAP MAPK14 TRAF6 
DOCK9,5,RAC1 BRF2 CDC42 ZNF750 TERF2 
CDK5RAP2,5,CEP131 B9D1 C2CD3 CKAP5 CEP83 
UGT2B15,5,AKR1C2 ADH6 ADH1C ADH5 CYP2A6 
IL7R,5,FOXO3 SYNJ1 DNM2 IL7 TYK2 
GGA2,5,RABGEF1 RABEP1 RAB5C BACE1 RAB5A 
TICAM1,5,BIRC2 CCL5 CHUK CCL2 CD14 
TIMELESS,5,ARNTL CLOCK RMI2 ATR RAD9A 
INPP5D,5,IRS1 INPP4A JAK1 PLCG2 KLRG1 
EIF2AK1,5,IFIT1 CHUK NFE2L2 STAT1 EIF2S3 
TIMM17A,5,GRPEL2 PAM16 NDUFB8 TIMM23 TIMM44 
INPPL1,5,FCGR2B PRDM1 IL2RB PIK3C2A MET 
SKIL,5,NCOR1 SMAD2 CDH1 NR3C1 HDAC1 
MRPL24,5,MRPL20 MRPL34 MRPL23 MRPL9 MRPL32 
TIMM17B,5,GRPEL2 PAM16 NDUFB8 TIMM23 TIMM44 
TTBK2,5,SSNA1 HSP90AA1 RPGRIP1L MARK4 CC2D2A 
GHR,5,TFF3 TFF1 JAK2 TSLP SH2B1 
TIMM21,5,GRPEL2 PAM16 NDUFB8 TIMM23 TIMM44 
FGF11,5,FGFR4 CAMK2G SCN5A CAMK2A CAMK2D 
SCUBE2,5,CBX2 SNAPC4 DISP2 SHH CEBPA 
FGF10,5,HNF1B FGF22 FGF2 FGF1 FRS2 
DDX5,5,DGCR8 U2AF1 SNRPD2 NCOA1 PRCC 
EBI3,5,IL12RB1 STAT3 ETS1 PAX5 POU2F2 
SCP2,5,RXRA PEX5 RXRG PEX12 PEX10 
WASF2,5,ARPC5L ARPC2 BAIAP2 MAPK3 NCKAP1L 
SCNN1G,5,WNK3 RAF1 SP1 SGK1 WNK2 
PLXNA3,5,PAK3 DPYSL5 CDK5 FES CRMP1 
TIAL1,5,MAFK MAFF ZNF263 TCF4 HNRNPH1 
LAS1L,5,PES1 ISG20L2 ZBTB11 ERI1 WDR18 
THY1,5,ITGAM ARHGAP5 GPLD1 ARHGAP35 ITGAV 
FPR2,5,PLAUR CCL23 CYSLTR2 GNAI3 APP 
ANKS1B,5,ZNF750 NME2 SOX2 GTF2B ZNF92 
IMMP2L,5,ZNF750 NME2 SOX2 GTF2B ZNF92 
PRRX1,5,BCL11A POU5F1 CTBP2 SUZ12 TCF12 
SLTM,5,SMAD7 PAX3 STAT5B SP3 ETS1 
MRPL51,5,MRPS9 MRPL2 MRPL27 MRPL14 MRPL12 
WDR59,5,ATP6V0B SESN1 SESN2 ATP6V0D1 ATP6V1H 
RP11-837J7.4,5,ZNF639 MYNN ZHX1 ZBTB11 ZC3H8 
RYK,5,ZNF197 FZD10 WNT5B VANGL2 FZD6 
UGT2B28,5,AKR1C2 ADH6 ADH5 ADH1B CYP2A6 
DOCK6,5,MBD3 ZNF92 CDC42 RAC1 ZHX2 
ING2,5,UBE2I TP53 EGR1 SUMO1 ARID2 
ING4,5,JUND JADE1 ELF1 SIX5 KAT7 
FANCD2,5,ATRIP FANCG USP1 HUS1 FANCM 
DOCK2,5,ZNF207 RHOG RAC3 ELMO1 RAC1 
MRPL38,5,MRPL10 MRPL18 MRPL4 MRPL13 MRPS24 
WDR3,5,6 UTP6 UTP15 PDCD11 RPS23 
CDC7,5,STAT3 ATRIP CDC45 MCM3 RPA4 
WDR19,5,TRAF3IP1 IFT57 IFT46 HSPB11 IFT74 
LAMTOR4,5,ATP6V1F ITFG2 ATG101 NPRL2 LAMTOR2 
BRAP,5,HRAS KSR2 RRAS2 RPS27A KSR1 
DENND4B,5,MYNN GDI1 RAB10 GDI2 CHM 
KPNA2,5,NBN RCC1 NUTF2 CAMK4 NUP62 
KDM3A,5,NR1H2 MAX DPF1 ARID1A DPF3 
SLC35F6,5,ZNF589 ZNF175 ZNF584 E2F4 ZNF592 
DLL1,5,ADAM12 RAB11A PSENEN NOTCH4 NOTCH1 
PDE6A,5,SP1 CNGA1 RGS9 PDE6B STAT3 
CARD8,5,REST NLRP3 APIP MYC APAF1 
DNAJC19,5,TIMM44 TIMM23 PAM16 GRPEL2 NDUFB8 
TOPBP1,5,ATR BARD1 RFC5 CHEK1 TIPIN 
FBXW12,5,FBXL12 FBXO44 FBXL15 FBXL16 UBC 
PPIE,5,LSM6 GTF2F1 ERCC3 POLR2H CUL4B 
SLC39A3,5,ZNF639 ZBTB11 CEBPZ CEBPA MAZ 
UQCRFS1,5,CYC1 HTT UQCRB MT-CYB UQCRH 
MED23,5,CDK8 CHD9 TGS1 MED8 TBL1XR1 
FBXW5,5,FBXL4 HECTD2 COPS7A FBXW4 FBXO4 
KHSRP,5,EXOSC7 ZNF263 DIS3 ATF4 DCP2 
SOX9,5,RAD21 FGF9 AMH PRKACB GATA4 
VAMP1,5,STXBP1 SNAP25 SNAP23 RIMS1 STX3 
ARHGEF28,5,RHOB GNAQ FOXA1 PTK2B RHOC 
RPL9,5,RPLP0 RPN1 RPL31 RPS21 RPS24 
PPARGC1B,5,MLXIP CREBBP MLXIPL NR3C1 ZNF263 
ARTN,5,GRB7 SHC1 RAP1GAP SHC3 DOK2 
MEF2B,5,HDAC4 NFATC4 KLF2 ATF2 PPP1CA 
KDELR3,5,KIF18A COPB2 RINT1 CHN1 STX18 
TOP2A,5,PBX3 IRF3 CEBPA ATF1 NUP188 
ARHGDIG,5,RHOH RHOG RHOB PRKACA NGFR 
KCNMB2,5,KCNMA1 ZNF584 PRKACA PRKG1 ZNF589 
KCNMB3,5,CACNA1C CACNA1F CACNA1D CACNA1S PRKG2 
DLC1,5,RHOQ RHOC RHOA RHOB CEBPB 
BUB1B,5,DYNC1LI2 NSL1 PSMB10 ANAPC7 TAOK1 
PPP1R12C,5,SIX5 ZNF197 PRKG1 PPP1R14A MYLPF 
TRIO,5,CDC42 E2F1 SRC GNA14 GNA13 
KCNQ1,5,KCNAB3 KCNAB1 KCNAB2 AKAP9 ADCY9 
DLG5,5,ZNF263 LLGL1 ZNF217 WWTR1 LLGL2 
DLK1,5,ZBTB7A SMARCB1 HEY1 GATA2 FOXA1 
ARHGAP35,5,THY1 RHOJ PTK6 PLXNB1 KRAS 
EEFSEC,5,RPL23A RPL7 RPL35A RPS19 RPL18A 
MASP1,5,F2 C2 CFD COLEC10 FCN3 
BYSL,5,RPS15A RPS3A RPS25 RPP25 RPS10 
PPM1H,5,SMAD1 KDM5B NCOA3 NR1H2 ARID2 
PPM1F,5,SIN3A CAMK1 CAMK2B BCL3 SPI1 
PPM1D,5,TGIF2 CTCF HBP1 MDM2 CBFB 
PPM1A,5,PRKAA1 SMAD4 MAP2K4 MAP2K6 MAP2K3 
RPL8,5,RPS19 RPLP0 RPN1 RPS21 RPS6 
PCDHB6,5,CDH19 CDHR1 CTNNB1 PCDHA1 FAT2 
MED14,5,CDK19 CREBBP CHD9 TBL1XR1 MED18 
MED13L,5,CCND3 MED19 MED25 HDAC3 MED18 
KIF17,5,XPO1 TNPO1 CASK FHL5 DLG1 
PCOLCE,5,HMGN3 COL5A2 TLL1 TLL2 COL11A2 
KLKB1,5,SP3 SERPING1 PLG C1QBP NFKB1 
CACNG6,5,PPP2R5A PPP2R1B CAMK2B CAMK2A PPP2R1A 
C2CD5,5,MYO5A EXOC6 EXOC2 RHOQ EXOC3 
ARPC1B,5,ACTR3B IGLV7-43 NCKAP1L IGLV1-40 PACSIN1 
CACNB2,5,PPP2R5A PPP2R1B PPP2R1A CAMK2B PPP2R2D 
KLF4,5,SOX2 POU5F1 PBX1 CRHR2 CTNNB1 
KLF6,5,PBX3 SPI1 BCL3 BATF MEF2C 
CACNA1B,5,STX1A ABCC8 GNAI1 RASGRP2 PRNP 
FEM1B,5,FOXA1 COMMD1 COPS7B COPS2 GPS1 
USP13,5,PTEN E2F1 BECN1 USP10 SKP2 
PCSK5,5,NOTCH1 ANGPTL4 BACE2 NGF BACE1 
RPN1,5,RPL9 RPL8 SEC61B SRP9 DAD1 
MCC,5,KLF3 CREB3 SOX2 ZNF750 SETDB1 
PCSK9,5,SREBF2 FAM20A CLTA VLDLR AP2M1 
TRAPPC9,5,SEC22B F8 SEC24B SEC24C GDI1 
TRAV19,5,HLA-H PRKCQ CD4 TRBV7-9 GRAP2 
DNAJA2,5,ARID2 STIP1 DNAJA4 HSP90AA1 HSPA8 
TRAV3,5,VAV1 SH3BP2 JAK2 PTPN6 CD4 
PCTP,5,ACOT13 ACOT11 ACOT1 ACOT7 ACOT12 
POLR3K,5,BRF2 CRCP POLR1D BRF1 GTF3A 
TRAPPC3,5,GOSR2 SEC13 SEC22B GRIA1 TRAPPC12 
TPM4,5,MYL12A ACTG2 ACTA2 VIM ACTN2 
POLI,5,UBE2L6 UBC RFC2 MAD2L2 REV1 
FCGR1A,5,NCR3 RAC1 CD247 IGLV3-19 LILRA5 
GABRA1,5,GABRB3 GABARAPL1 PLCL1 NRG2 GABRQ 
SLC7A11,5,TP53 ZNF318 ADNP SLC3A2 JUN 
TRIB3,5,MAFK MAPKAP1 PPARA AKT1 CEBPB 
KIF3B,5,DCTN5 CLUAP1 TRAF3IP1 DYNC1LI2 TTC21B 
UROD,5,ALAS1 SATB1 UROS SMAD1 MYC 
POLE,5,KMT2B CDC6 MCM5 MCM7 4 
SLC8A1,5,ATP1A2 ATP1A1 VDR SRI PRKG2 
USP3,5,TGIF2 TCF4 NR1H2 ARID2 ZHX1 
SORT1,5,ZNF274 APOB PRDM4 NGF PSEN1 
CALD1,5,SORBS1 ITGA1 MYLPF NR3C1 USF1 
CALCRL,5,CALCB CALCA ADM GNG2 IAPP 
SLC8A3,5,SRI ATP1B1 VDR ATP1B2 ATP1B3 
POLE3,5,MYC PRIM1 MCM4 ORC2 CDC45 
POM121C,5,SEC13 SYMPK XPOT EIF4E GEMIN5 
POLE4,5,DBF4 POLE2 ORC4 RPA1 POLE 
TRAPPC11,5,TRAPPC13 TRAPPC8 GDI1 RAB1A TRAPPC6B 
ARL6IP5,5,SLC1A6 SLC1A3 SLC1A7 SLC1A1 SLC1A2 
SORCS1,5,GTF2B NME2 TERF2 SOX2 SETDB1 
VCAM1,5,MSN ITGB1 NCF2 PXN TNF 
SLC2A4RG,5,HNF4G ZZZ3 MYC CEBPB ESRRA 
ULK2,5,ATG2A ATG2B AMBRA1 SMCR8 PIK3C3 
MKNK1,5,EIF4E2 PPP2CB MAPK14 MAPK6 MAPK7 
PARK2,5,UBE2E2 UBE2L3 UBE2G1 GPR37 UBE2L6 
BPTF,5,USF1 ZNF263 CTCF NCOA3 HES1 
TNFSF10,5,TNFRSF10C TNFRSF10D IFNAR1 IKBKG FAS 
MLKL,5,TRPM7 PGAM5 NLRP3 CDC37 CHMP6 
PREB,5,SAR1A CEBPA SEC23A MIA2 MIA3 
MLC1,5,CDK4 PRKAR1A PRKAR2B ITGB1 ROCK1 
MKS1,5,INTU KIF7 SSNA1 PCM1 CEP290 
RPS16,5,PDCD11 FTSJ3 RPS8 UBA52 RPS21 
MKNK2,5,HSF1 ZNF207 HMGN3 MAPK3 EIF4E 
PRDX1,5,SESN1 SESN2 TXN CDK5R1 AR 
FBXO4,5,LMO7 FBXL5 FBXW5 FBXL18 COPS8 
CCDC22,5,FBXW9 SKP1 RBX1 ASB5 FBXO7 
PRDM2,5,CBX2 TERF1 ZNF207 CXXC4 ZNF750 
UPF1,5,RPL24 RPL32 RPS2 SMG8 RPS15 
EGR3,5,FOSL1 SPINT1 CD69 TCF4 EP300 
BRD2,5,HDAC4 SMARCA4 TAF1 ZNF263 CBFB 
VIPR1,5,TFAP2A NFYB NFKB1 ADORA2B GNG2 
CCDC124,5,YY1 ZNF197 CTCF MYC SMC3 
TSC22D3,5,POU2F1 SCNN1B RAF1 CEBPA SGK3 
MIOS,5,DEPDC5 ATP6V1G1 ATP6V1E2 ITFG2 LAMTOR3 
AQP2,5,TFAP2A RAB11FIP2 CREB3L2 CREB3L4 RAB11A 
ASB9,5,CUL5 COMMD1 COPS7B COPS2 DCUN1D1 
ASCL1,5,TAF1 ATF1 POU2F2 REST USF1 
TNFRSF13B,5,TNFSF13 TNFSF13B TRAF6 SDC4 SDC2 
VPS54,5,STX16 COG2 RAB9A GCC2 M6PR 
PAK4,5,MYLK3 MYLK2 RHOH GRB2 LAMA5 
MMP25,5,GNAI1 ACTA1 POTEKP GNAI2 ACTG1 
